Gender,Province of Origin,Residence Status,Last Education,Job,Marital Status,income_clean,age,Skor_Literasi,Skor_Adopsi_Fintech,Skor_Perilaku_Bijak,Skor_Impulsif,Skor_Rasa_Aman,Jumlah Rekening Penerima Pinjaman Aktif (entitas),Jumlah Dana yang Diberikan (Rp miliar),Jumlah Rekening Pemberi Pinjaman (akun),TWP 90%,Jumlah Penerima Pinjaman (akun),Outstanding Pinjaman (Rp miliar),Jumlah Penduduk (Ribu),PDRB (Ribu Rp),Urbanisasi (%)
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.0,2.888888888888889,3.090909090909091,2.0,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Rental House,Bachelor (S1)/Diploma IV,Others,Not Married,2000000.0,27,3.5,3.2222222222222223,3.6363636363636362,2.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.4375,3.0,3.0,1.0,2.2222222222222223,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.125,3.3333333333333335,3.6363636363636362,3.0,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,25,3.125,3.6666666666666665,3.0,1.6666666666666667,2.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,26,3.0,2.6666666666666665,2.909090909090909,1.0,3.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,26,3.1875,3.111111111111111,2.727272727272727,1.0,3.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,25,3.0,2.5555555555555554,2.4545454545454546,2.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,2.8125,2.6666666666666665,2.5454545454545454,2.0,3.2222222222222223,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Not Working,Not Married,2000000.0,25,3.0,3.111111111111111,3.0,2.0,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,DKI Jakarta,Rental House,Bachelor (S1)/Diploma IV,Private Employee,Not Married,2000000.0,27,3.0,2.888888888888889,3.0,2.3333333333333335,2.7777777777777777,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
Male,DKI Jakarta,Boarding House,Diploma I/II/III,Entrepreneur,Not Married,2000000.0,25,3.375,3.2222222222222223,3.5454545454545454,2.0,3.6666666666666665,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
Female,Sumatera Barat,Rental House,Diploma I/II/III,Private Employee,Not Married,2000000.0,25,3.25,3.4444444444444446,3.4545454545454546,2.3333333333333335,3.6666666666666665,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.4375,3.0,2.6363636363636362,2.3333333333333335,2.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Private Employee,Not Married,2000000.0,25,3.0,3.0,3.0,2.0,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,DKI Jakarta,Boarding House,Diploma I/II/III,Private Employee,Not Married,2000000.0,22,3.0625,3.111111111111111,2.8181818181818183,1.3333333333333333,3.0,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
Male,Sumatera Barat,Parents House,Bachelor (S1)/Diploma IV,Others,Not Married,2000000.0,25,3.3125,3.0,3.090909090909091,2.6666666666666665,2.888888888888889,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,24,3.0,2.888888888888889,3.0,2.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Family House,Diploma I/II/III,Not Working,Not Married,2000000.0,25,2.6875,3.0,2.5454545454545454,2.6666666666666665,2.3333333333333335,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.6875,2.2222222222222223,3.6363636363636362,2.0,3.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,24,2.6875,2.6666666666666665,3.0,4.0,2.2222222222222223,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Bachelor (S1)/Diploma IV,Entrepreneur,Not Married,2000000.0,25,3.0,3.0,3.0,3.0,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,25,3.5625,3.5555555555555554,3.5454545454545454,4.0,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Family House,Diploma I/II/III,Not Working,Married,2000000.0,25,2.5625,2.4444444444444446,3.0,2.3333333333333335,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Jawa Tengah,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.0625,3.111111111111111,2.909090909090909,1.0,3.4444444444444446,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Male,Sumatera Barat,Family House,Senior High School,Student,Not Married,2000000.0,25,2.625,2.7777777777777777,3.1818181818181817,3.0,2.3333333333333335,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Private Employee,Not Married,2000000.0,25,3.0,2.7777777777777777,3.1818181818181817,2.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Diploma I/II/III,Others,Not Married,2000000.0,25,2.625,2.111111111111111,2.8181818181818183,2.0,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Private Employee,Not Married,2000000.0,26,2.25,2.2222222222222223,2.8181818181818183,2.3333333333333335,2.3333333333333335,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,26,2.3125,2.0,2.909090909090909,2.6666666666666665,2.3333333333333335,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Diploma I/II/III,Others,Not Married,2000000.0,27,2.875,2.6666666666666665,3.0,2.0,2.2222222222222223,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,25,3.375,3.0,3.272727272727273,1.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,26,3.5,2.111111111111111,3.0,2.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Own House,Bachelor (S1)/Diploma IV,Not Working,Not Married,2000000.0,25,3.375,3.5555555555555554,3.4545454545454546,4.0,2.2222222222222223,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Bachelor (S1)/Diploma IV,Private Employee,Not Married,2000000.0,25,3.0,3.0,3.0,3.0,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Civil Servant/BUMN,Not Married,2000000.0,25,3.125,3.3333333333333335,3.090909090909091,2.6666666666666665,2.888888888888889,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Bachelor (S1)/Diploma IV,Private Employee,Not Married,2000000.0,25,4.0,4.0,3.909090909090909,4.0,2.3333333333333335,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,26,3.0625,2.5555555555555554,2.6363636363636362,3.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Others,Not Married,2000000.0,25,3.0,3.0,3.0,3.0,2.4444444444444446,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Own House,Diploma I/II/III,Private Employee,Not Married,2000000.0,27,3.0625,3.3333333333333335,3.0,3.6666666666666665,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,DKI Jakarta,Rental House,Diploma I/II/III,Private Employee,Not Married,2000000.0,22,3.125,3.2222222222222223,3.0,2.0,3.2222222222222223,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
